description,industry,level,size,line_code,value,Unit,footnotes
Changes made in the last 2 financial years: none of the above,total,0,100+ employees,D0411,513,Number of businesses,1 and 2 and 3 and 4 and 6
Changes made in the last 2 financial years: none of the above,"Agriculture, forestry, & fishing",1,total,D0411,1896,Number of businesses,1 and 2 and 3 and 6
Changes made in the last 2 financial years: none of the above,Agriculture,2,total,D0411,1011,Number of businesses,1 and 2 and 3 and 6
Changes made in the last 2 financial years: none of the above,Commercial fishing,2,total,D0411,33,Number of businesses,1 and 2 and 3 and 6
Changes made in the last 2 financial years: none of the above,Forestry & logging,2,total,D0411,138,Number of businesses,1 and 2 and 3 and 6
Changes made in the last 2 financial years: none of the above,"Agriculture, forestry, & fishing support services",2,total,D0411,714,Number of businesses,1 and 2 and 3 and 6
Changes made in the last 2 financial years: none of the above,Mining,1,total,D0411,60,Number of businesses,1 and 2 and 3 and 5 and 6
Changes made in the last 2 financial years: none of the above,Manufacturing,1,total,D0411,2634,Number of businesses,1 and 2 and 3 and 6
Changes made in the last 2 financial years: none of the above,"Food, beverage, & tobacco",2,total,D0411,471,Number of businesses,1 and 2 and 3 and 6
Changes made in the last 2 financial years: none of the above,"Textile, clothing, footwear, & leather",2,total,D0411,99,Number of businesses,1 and 2 and 3 and 6
Changes made in the last 2 financial years: none of the above,Wood & paper product,2,total,D0411,246,Number of businesses,1 and 2 and 3 and 6
Changes made in the last 2 financial years: none of the above,"Printing, publishing, & recorded media",2,total,D0411,90,Number of businesses,1 and 2 and 3 and 6
Changes made in the last 2 financial years: none of the above,"Petroleum, coal, chemical, & associated product",2,total,D0411,174,Number of businesses,1 and 2 and 3 and 6
Changes made in the last 2 financial years: none of the above,Non-metallic mineral product,2,total,D0411,105,Number of businesses,1 and 2 and 3 and 6
Changes made in the last 2 financial years: none of the above,Metal product,2,total,D0411,576,Number of businesses,1 and 2 and 3 and 6
Changes made in the last 2 financial years: none of the above,Transport and industrial machinery & equipment,2,total,D0411,564,Number of businesses,1 and 2 and 3 and 6
Changes made in the last 2 financial years: none of the above,Other machinery & equipment,2,total,D0411,120,Number of businesses,1 and 2 and 3 and 6
Changes made in the last 2 financial years: none of the above,Other manufacturing,2,total,D0411,183,Number of businesses,1 and 2 and 3 and 6
Changes made in the last 2 financial years: none of the above,"Electricity, gas, water, & waste services",1,total,D0411,75,Number of businesses,1 and 2 and 3 and 5 and 6
Changes made in the last 2 financial years: none of the above,Construction,1,total,D0411,4743,Number of businesses,1 and 2 and 3 and 6
Changes made in the last 2 financial years: none of the above,Wholesale trade,1,total,D0411,1551,Number of businesses,1 and 2 and 3 and 6
Changes made in the last 2 financial years: none of the above,Machinery & equipment wholesaling,2,total,D0411,429,Number of businesses,1 and 2 and 3 and 6
Changes made in the last 2 financial years: none of the above,Other wholesale trade,2,total,D0411,1119,Number of businesses,1 and 2 and 3 and 6
Changes made in the last 2 financial years: none of the above,Retail trade,1,total,D0411,2622,Number of businesses,1 and 2 and 3 and 6
Changes made in the last 2 financial years: none of the above,Accommodation & food services,1,total,D0411,4128,Number of businesses,1 and 2 and 3 and 6
Changes made in the last 2 financial years: none of the above,"Transport, postal, & warehousing",1,total,D0411,852,Number of businesses,1 and 2 and 3 and 6
Changes made in the last 2 financial years: none of the above,Information media & telecommunications,1,total,D0411,153,Number of businesses,1 and 2 and 3 and 6
Changes made in the last 2 financial years: none of the above,Publishing,2,total,D0411,60,Number of businesses,1 and 2 and 3 and 6
Changes made in the last 2 financial years: none of the above,Motion picture,2,total,D0411,48,Number of businesses,1 and 2 and 3 and 6
Changes made in the last 2 financial years: none of the above,Telecommunications,2,total,D0411,45,Number of businesses,1 and 2 and 3 and 6
Changes made in the last 2 financial years: none of the above,Financial & insurance services,1,total,D0411,378,Number of businesses,1 and 2 and 3 and 6
Changes made in the last 2 financial years: none of the above,Finance,2,total,D0411,99,Number of businesses,1 and 2 and 3 and 6
Changes made in the last 2 financial years: none of the above,Insurance,2,total,D0411,12,Number of businesses,1 and 2 and 3 and 6
Changes made in the last 2 financial years: none of the above,Auxiliary,2,total,D0411,267,Number of businesses,1 and 2 and 3 and 6
Changes made in the last 2 financial years: none of the above,"Rental, hiring, & real estate services",1,total,D0411,510,Number of businesses,1 and 2 and 3 and 6
Changes made in the last 2 financial years: none of the above,"Professional, scientific, & technical services",1,total,D0411,2685,Number of businesses,1 and 2 and 3 and 6
Changes made in the last 2 financial years: none of the above,Computer systems design,2,total,D0411,540,Number of businesses,1 and 2 and 3 and 6
Changes made in the last 2 financial years: none of the above,Other professional scientific,2,total,D0411,2148,Number of businesses,1 and 2 and 3 and 6
Changes made in the last 2 financial years: none of the above,Administrative & support services,1,total,D0411,954,Number of businesses,1 and 2 and 3 and 6
Changes made in the last 2 financial years: none of the above,Education & training,1,total,D0411,606,Number of businesses,1 and 2 and 3 and 6
Changes made in the last 2 financial years: none of the above,Health care & social assistance,1,total,D0411,1527,Number of businesses,1 and 2 and 3 and 6
Changes made in the last 2 financial years: none of the above,Arts & recreation services,1,total,D0411,321,Number of businesses,1 and 2 and 3 and 6
Changes made in the last 2 financial years: none of the above,Other services,1,total,D0411,990,Number of businesses,1 and 2 and 3 and 6
Changes made in the last 2 financial years: none of the above,total,0,total,D0411,26688,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: not important",total,0,6�19 employees,D0501.01,4083,Number of businesses,1 and 2 and 3 and 4 and 6
"To do things in D04, how important was: demand from customer: not important",total,0,20�49 employees,D0501.01,1332,Number of businesses,1 and 2 and 3 and 4 and 6
"To do things in D04, how important was: demand from customer: not important",total,0,50�99 employees,D0501.01,354,Number of businesses,1 and 2 and 3 and 4 and 6
"To do things in D04, how important was: demand from customer: not important",total,0,100+ employees,D0501.01,276,Number of businesses,1 and 2 and 3 and 4 and 6
"To do things in D04, how important was: demand from customer: not important","Agriculture, forestry, & fishing",1,total,D0501.01,387,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: not important",Agriculture,2,total,D0501.01,270,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: not important",Commercial fishing,2,total,D0501.01,9,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: not important",Forestry & logging,2,total,D0501.01,33,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: not important","Agriculture, forestry, & fishing support services",2,total,D0501.01,78,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: not important",Mining,1,total,D0501.01,21,Number of businesses,1 and 2 and 3 and 5 and 6
"To do things in D04, how important was: demand from customer: not important",Manufacturing,1,total,D0501.01,870,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: not important","Food, beverage, & tobacco",2,total,D0501.01,216,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: not important","Textile, clothing, footwear, & leather",2,total,D0501.01,36,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: not important",Wood & paper product,2,total,D0501.01,147,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: not important","Printing, publishing, & recorded media",2,total,D0501.01,12,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: not important","Petroleum, coal, chemical, & associated product",2,total,D0501.01,54,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: not important",Non-metallic mineral product,2,total,D0501.01,24,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: not important",Metal product,2,total,D0501.01,135,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: not important",Transport and industrial machinery & equipment,2,total,D0501.01,141,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: not important",Other machinery & equipment,2,total,D0501.01,24,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: not important",Other manufacturing,2,total,D0501.01,81,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: not important","Electricity, gas, water, & waste services",1,total,D0501.01,39,Number of businesses,1 and 2 and 3 and 5 and 6
"To do things in D04, how important was: demand from customer: not important",Construction,1,total,D0501.01,828,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: not important",Wholesale trade,1,total,D0501.01,318,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: not important",Machinery & equipment wholesaling,2,total,D0501.01,123,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: not important",Other wholesale trade,2,total,D0501.01,195,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: not important",Retail trade,1,total,D0501.01,525,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: not important",Accommodation & food services,1,total,D0501.01,330,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: not important","Transport, postal, & warehousing",1,total,D0501.01,132,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: not important",Information media & telecommunications,1,total,D0501.01,75,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: not important",Publishing,2,total,D0501.01,36,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: not important",Motion picture,2,total,D0501.01,18,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: not important",Telecommunications,2,total,D0501.01,18,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: not important",Financial & insurance services,1,total,D0501.01,96,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: not important",Finance,2,total,D0501.01,30,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: not important",Insurance,2,total,D0501.01,6,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: not important",Auxiliary,2,total,D0501.01,60,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: not important","Rental, hiring, & real estate services",1,total,D0501.01,171,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: not important","Professional, scientific, & technical services",1,total,D0501.01,1116,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: not important",Computer systems design,2,total,D0501.01,204,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: not important",Other professional scientific,2,total,D0501.01,915,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: not important",Administrative & support services,1,total,D0501.01,261,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: not important",Education & training,1,total,D0501.01,195,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: not important",Health care & social assistance,1,total,D0501.01,528,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: not important",Arts & recreation services,1,total,D0501.01,57,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: not important",Other services,1,total,D0501.01,93,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: not important",total,0,total,D0501.01,6045,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: moderately important",total,0,6�19 employees,D0501.02,4716,Number of businesses,1 and 2 and 3 and 4 and 6
"To do things in D04, how important was: demand from customer: moderately important",total,0,20�49 employees,D0501.02,1248,Number of businesses,1 and 2 and 3 and 4 and 6
"To do things in D04, how important was: demand from customer: moderately important",total,0,50�99 employees,D0501.02,576,Number of businesses,1 and 2 and 3 and 4 and 6
"To do things in D04, how important was: demand from customer: moderately important",total,0,100+ employees,D0501.02,597,Number of businesses,1 and 2 and 3 and 4 and 6
"To do things in D04, how important was: demand from customer: moderately important","Agriculture, forestry, & fishing",1,total,D0501.02,690,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: moderately important",Agriculture,2,total,D0501.02,549,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: moderately important",Commercial fishing,2,total,D0501.02,9,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: moderately important",Forestry & logging,2,total,D0501.02,45,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: moderately important","Agriculture, forestry, & fishing support services",2,total,D0501.02,90,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: moderately important",Mining,1,total,D0501.02,18,Number of businesses,1 and 2 and 3 and 5 and 6
"To do things in D04, how important was: demand from customer: moderately important",Manufacturing,1,total,D0501.02,807,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: moderately important","Food, beverage, & tobacco",2,total,D0501.02,195,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: moderately important","Textile, clothing, footwear, & leather",2,total,D0501.02,57,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: moderately important",Wood & paper product,2,total,D0501.02,42,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: moderately important","Printing, publishing, & recorded media",2,total,D0501.02,57,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: moderately important","Petroleum, coal, chemical, & associated product",2,total,D0501.02,120,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: moderately important",Non-metallic mineral product,2,total,D0501.02,36,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: moderately important",Metal product,2,total,D0501.02,102,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: moderately important",Transport and industrial machinery & equipment,2,total,D0501.02,111,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: moderately important",Other machinery & equipment,2,total,D0501.02,42,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: moderately important",Other manufacturing,2,total,D0501.02,42,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: moderately important","Electricity, gas, water, & waste services",1,total,D0501.02,39,Number of businesses,1 and 2 and 3 and 5 and 6
"To do things in D04, how important was: demand from customer: moderately important",Construction,1,total,D0501.02,852,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: moderately important",Wholesale trade,1,total,D0501.02,576,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: moderately important",Machinery & equipment wholesaling,2,total,D0501.02,177,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: moderately important",Other wholesale trade,2,total,D0501.02,396,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: moderately important",Retail trade,1,total,D0501.02,882,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: moderately important",Accommodation & food services,1,total,D0501.02,1125,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: moderately important","Transport, postal, & warehousing",1,total,D0501.02,225,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: moderately important",Information media & telecommunications,1,total,D0501.02,117,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: moderately important",Publishing,2,total,D0501.02,48,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: moderately important",Motion picture,2,total,D0501.02,42,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: moderately important",Telecommunications,2,total,D0501.02,24,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: moderately important",Financial & insurance services,1,total,D0501.02,93,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: moderately important",Finance,2,total,D0501.02,27,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: moderately important",Insurance,2,total,D0501.02,6,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: moderately important",Auxiliary,2,total,D0501.02,63,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: moderately important","Rental, hiring, & real estate services",1,total,D0501.02,90,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: moderately important","Professional, scientific, & technical services",1,total,D0501.02,582,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: moderately important",Computer systems design,2,total,D0501.02,69,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: moderately important",Other professional scientific,2,total,D0501.02,513,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: moderately important",Administrative & support services,1,total,D0501.02,258,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: moderately important",Education & training,1,total,D0501.02,135,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: moderately important",Health care & social assistance,1,total,D0501.02,462,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: moderately important",Arts & recreation services,1,total,D0501.02,60,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: moderately important",Other services,1,total,D0501.02,120,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: moderately important",total,0,total,D0501.02,7137,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: very important",total,0,6�19 employees,D0501.03,4197,Number of businesses,1 and 2 and 3 and 4 and 6
"To do things in D04, how important was: demand from customer: very important",total,0,20�49 employees,D0501.03,1470,Number of businesses,1 and 2 and 3 and 4 and 6
"To do things in D04, how important was: demand from customer: very important",total,0,50�99 employees,D0501.03,561,Number of businesses,1 and 2 and 3 and 4 and 6
"To do things in D04, how important was: demand from customer: very important",total,0,100+ employees,D0501.03,585,Number of businesses,1 and 2 and 3 and 4 and 6
"To do things in D04, how important was: demand from customer: very important","Agriculture, forestry, & fishing",1,total,D0501.03,558,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: very important",Agriculture,2,total,D0501.03,447,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: very important",Commercial fishing,2,total,D0501.03,6,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: very important",Forestry & logging,2,total,D0501.03,30,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: very important","Agriculture, forestry, & fishing support services",2,total,D0501.03,78,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: very important",Mining,1,total,D0501.03,18,Number of businesses,1 and 2 and 3 and 5 and 6
"To do things in D04, how important was: demand from customer: very important",Manufacturing,1,total,D0501.03,882,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: very important","Food, beverage, & tobacco",2,total,D0501.03,318,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: very important","Textile, clothing, footwear, & leather",2,total,D0501.03,33,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: very important",Wood & paper product,2,total,D0501.03,66,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: very important","Printing, publishing, & recorded media",2,total,D0501.03,33,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: very important","Petroleum, coal, chemical, & associated product",2,total,D0501.03,75,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: very important",Non-metallic mineral product,2,total,D0501.03,27,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: very important",Metal product,2,total,D0501.03,165,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: very important",Transport and industrial machinery & equipment,2,total,D0501.03,84,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: very important",Other machinery & equipment,2,total,D0501.03,39,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: very important",Other manufacturing,2,total,D0501.03,42,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: very important","Electricity, gas, water, & waste services",1,total,D0501.03,51,Number of businesses,1 and 2 and 3 and 5 and 6
"To do things in D04, how important was: demand from customer: very important",Construction,1,total,D0501.03,606,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: very important",Wholesale trade,1,total,D0501.03,597,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: very important",Machinery & equipment wholesaling,2,total,D0501.03,147,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: very important",Other wholesale trade,2,total,D0501.03,450,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: very important",Retail trade,1,total,D0501.03,888,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: very important",Accommodation & food services,1,total,D0501.03,960,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: very important","Transport, postal, & warehousing",1,total,D0501.03,360,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: very important",Information media & telecommunications,1,total,D0501.03,84,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: very important",Publishing,2,total,D0501.03,33,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: very important",Motion picture,2,total,D0501.03,24,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: very important",Telecommunications,2,total,D0501.03,24,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: very important",Financial & insurance services,1,total,D0501.03,93,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: very important",Finance,2,total,D0501.03,36,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: very important",Insurance,2,total,D0501.03,9,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: very important",Auxiliary,2,total,D0501.03,48,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: very important","Rental, hiring, & real estate services",1,total,D0501.03,219,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: very important","Professional, scientific, & technical services",1,total,D0501.03,573,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: very important",Computer systems design,2,total,D0501.03,96,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: very important",Other professional scientific,2,total,D0501.03,477,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: very important",Administrative & support services,1,total,D0501.03,285,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: very important",Education & training,1,total,D0501.03,138,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: very important",Health care & social assistance,1,total,D0501.03,234,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: very important",Arts & recreation services,1,total,D0501.03,111,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: very important",Other services,1,total,D0501.03,150,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: very important",total,0,total,D0501.03,6813,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: don't know",total,0,6�19 employees,D0501.04,828,Number of businesses,1 and 2 and 3 and 4 and 6
"To do things in D04, how important was: demand from customer: don't know",total,0,20�49 employees,D0501.04,264,Number of businesses,1 and 2 and 3 and 4 and 6
"To do things in D04, how important was: demand from customer: don't know",total,0,50�99 employees,D0501.04,69,Number of businesses,1 and 2 and 3 and 4 and 6
"To do things in D04, how important was: demand from customer: don't know",total,0,100+ employees,D0501.04,96,Number of businesses,1 and 2 and 3 and 4 and 6
"To do things in D04, how important was: demand from customer: don't know","Agriculture, forestry, & fishing",1,total,D0501.04,75,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: don't know",Agriculture,2,total,D0501.04,63,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: don't know",Commercial fishing,2,total,D0501.04,0,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: don't know",Forestry & logging,2,total,D0501.04,6,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: don't know","Agriculture, forestry, & fishing support services",2,total,D0501.04,6,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: don't know",Mining,1,total,D0501.04,3,Number of businesses,1 and 2 and 3 and 5 and 6
"To do things in D04, how important was: demand from customer: don't know",Manufacturing,1,total,D0501.04,135,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: don't know","Food, beverage, & tobacco",2,total,D0501.04,18,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: don't know","Textile, clothing, footwear, & leather",2,total,D0501.04,12,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: don't know",Wood & paper product,2,total,D0501.04,15,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: don't know","Printing, publishing, & recorded media",2,total,D0501.04,3,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: don't know","Petroleum, coal, chemical, & associated product",2,total,D0501.04,24,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: don't know",Non-metallic mineral product,2,total,D0501.04,15,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: don't know",Metal product,2,total,D0501.04,9,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: don't know",Transport and industrial machinery & equipment,2,total,D0501.04,18,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: don't know",Other machinery & equipment,2,total,D0501.04,9,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: don't know",Other manufacturing,2,total,D0501.04,9,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: don't know","Electricity, gas, water, & waste services",1,total,D0501.04,3,Number of businesses,1 and 2 and 3 and 5 and 6
"To do things in D04, how important was: demand from customer: don't know",Construction,1,total,D0501.04,258,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: don't know",Wholesale trade,1,total,D0501.04,117,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: don't know",Machinery & equipment wholesaling,2,total,D0501.04,51,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: don't know",Other wholesale trade,2,total,D0501.04,66,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: don't know",Retail trade,1,total,D0501.04,78,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: don't know",Accommodation & food services,1,total,D0501.04,33,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: don't know","Transport, postal, & warehousing",1,total,D0501.04,69,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: don't know",Information media & telecommunications,1,total,D0501.04,12,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: don't know",Publishing,2,total,D0501.04,0,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: don't know",Motion picture,2,total,D0501.04,6,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: don't know",Telecommunications,2,total,D0501.04,3,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: don't know",Financial & insurance services,1,total,D0501.04,21,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: don't know",Finance,2,total,D0501.04,12,Number of businesses,1 and 2 and 3 and 6
